name,province
Huyện A Lưới,Thừa Thiên - Huế
Huyện An Biên,Kiên Giang
Huyện An Dương,Hải Phòng
Thị xã An Khê,Gia Lai
Huyện An Lão,Hải Phòng
Huyện An Lão,Bình Định
Huyện An Minh,Kiên Giang
Thị xã An Nhơn,Bình Định
Huyện An Phú,An Giang
Huyện Anh Sơn,Nghệ An
Thị xã Ayun Pa,Gia Lai
Huyện Ân Thi,Hưng Yên
Huyện Ba Bể,Bắc Kạn
Huyện Ba Chẽ,Quảng Ninh
Quận Ba Đình,Hà Nội
Thị xã Ba Đồn,Quảng Bình
Huyện Ba Tơ,Quảng Ngãi
Huyện Ba Tri,Bến Tre
Huyện Ba Vì,Hà Nội
Thành phố Bà Rịa,Bà Rịa - Vũng Tàu
Huyện Bá Thước,Thanh Hóa
Huyện Bác Ái,Ninh Thuận
Thành phố Bạc Liêu,Bạc Liêu
Huyện Bạch Long Vĩ,Hải Phòng
Huyện Bạch Thông,Bắc Kạn
Huyện Bảo Lạc,Cao Bằng
Huyện Bảo Lâm,Cao Bằng
Huyện Bảo Lâm,Lâm Đồng
Thành phố Bảo Lộc,Lâm Đồng
Huyện Bảo Thắng,Lào Cai
Huyện Bảo Yên,Lào Cai
Huyện Bát Xát,Lào Cai
Huyện Bàu Bàng,Bình Dương
Huyện Bắc Bình,Bình Thuận
Thành phố Bắc Giang,Bắc Giang
Huyện Bắc Hà,Lào Cai
Thành phố Bắc Kạn,Bắc Kạn
Huyện Bắc Mê,Hà Giang
Thành phố Bắc Ninh,Bắc Ninh
Huyện Bắc Quang,Hà Giang
Huyện Bắc Sơn,Lạng Sơn
Huyện Bắc Tân Uyên,Bình Dương
Huyện Bắc Trà My,Quảng Nam
Quận Bắc Từ Liêm,Hà Nội
Huyện Bắc Yên,Sơn La
Thị xã Bến Cát,Bình Dương
Huyện Bến Cầu,Tây Ninh
Huyện Bến Lức,Long An
Thành phố Bến Tre,Bến Tre
Thành phố Biên Hòa,Đồng Nai
Thị xã Bỉm Sơn,Thanh Hóa
Huyện Bình Chánh,TP Hồ Chí Minh
Huyện Bình Đại,Bến Tre
Huyện Bình Gia,Lạng Sơn
Huyện Bình Giang,Hải Dương
Huyện Bình Liêu,Quảng Ninh
Thị xã Bình Long,Bình Phước
Huyện Bình Lục,Hà Nam
Thị xã Bình Minh,Vĩnh Long
Huyện Bình Sơn,Quảng Ngãi
Quận Bình Tân,TP Hồ Chí Minh
Huyện Bình Tân,Vĩnh Long
Quận Bình Thạnh,TP Hồ Chí Minh
Quận Bình Thủy,Cần Thơ
Huyện Bình Xuyên,Vĩnh Phúc
Huyện Bố Trạch,Quảng Bình
Huyện Bù Đăng,Bình Phước
Huyện Bù Đốp,Bình Phước
Huyện Bù Gia Mập,Bình Phước
Huyện Buôn Đôn,Đắk Lắk
Thị xã Buôn Hồ,Đắk Lắk
Thành phố Buôn Ma Thuột,Đắk Lắk
Thành phố Cà Mau,Cà Mau
Huyện Cai Lậy,Tiền Giang
Thị xã Cai Lậy,Tiền Giang
Huyện Cái Bè,Tiền Giang
Huyện Cái Nước,Cà Mau
Quận Cái Răng,Cần Thơ
Huyện Cam Lâm,Khánh Hòa
Huyện Cam Lộ,Quảng Trị
Thành phố Cam Ranh,Khánh Hòa
Huyện Can Lộc,Hà Tĩnh
Huyện Càng Long,Trà Vinh
Thành phố Cao Bằng,Cao Bằng
Thành phố Cao Lãnh,Đồng Tháp
Huyện Cao Lãnh,Đồng Tháp
Huyện Cao Lộc,Lạng Sơn
Huyện Cao Phong,Hoà Bình
Huyện Cát Hải,Hải Phòng
Huyện Cát Tiên,Lâm Đồng
Huyện Cẩm Giàng,Hải Dương
Huyện Cẩm Khê,Phú Thọ
Quận Cẩm Lệ,Đà Nẵng
Huyện Cẩm Mỹ,Đồng Nai
Thành phố Cẩm Phả,Quảng Ninh
Huyện Cẩm Thủy,Thanh Hóa
Huyện Cẩm Xuyên,Hà Tĩnh
Huyện Cần Đước,Long An
Huyện Cần Giờ,TP Hồ Chí Minh
Huyện Cần Giuộc,Long An
Quận Cầu Giấy,Hà Nội
Huyện Cầu Kè,Trà Vinh
Huyện Cầu Ngang,Trà Vinh
Thành phố Châu Đốc,An Giang
Huyện Châu Đức,Bà Rịa - Vũng Tàu
Huyện Châu Phú,An Giang
Huyện Châu Thành,An Giang
Huyện Châu Thành,Bến Tre
Huyện Châu Thành,Đồng Tháp
Huyện Châu Thành,Hậu Giang
Huyện Châu Thành,Kiên Giang
Huyện Châu Thành,Long An
Huyện Châu Thành,Sóc Trăng
Huyện Châu Thành,Tây Ninh
Huyện Châu Thành,Tiền Giang
Huyện Châu Thành,Trà Vinh
Huyện Châu Thành A,Hậu Giang
Huyện Chi Lăng,Lạng Sơn
Thị xã Chí Linh,Hải Dương
Huyện Chiêm Hóa,Tuyên Quang
Huyện Chợ Đồn,Bắc Kạn
Huyện Chợ Gạo,Tiền Giang
Huyện Chợ Lách,Bến Tre
Huyện Chợ Mới,Bắc Kạn
Huyện Chợ Mới,An Giang
Huyện Chơn Thành,Bình Phước
Huyện Chư Păh,Gia Lai
Huyện Chư Prông,Gia Lai
Huyện Chư Pưh,Gia Lai
Huyện Chư Sê,Gia Lai
Huyện Chương Mỹ,Hà Nội
Huyện Con Cuông,Nghệ An
Huyện Cô Tô,Quảng Ninh
Huyện Côn Đảo,Bà Rịa - Vũng Tàu
Huyện Cồn Cỏ,Quảng Trị
Huyện Cờ Đỏ,Cần Thơ
Huyện Cù Lao Dung,Sóc Trăng
Huyện Củ Chi,TP Hồ Chí Minh
Huyện Cư Kuin,Đắk Lắk
Huyện Cư Jút,Đắk Nông
Huyện Cư M'gar,Đắk Lắk
Thị xã Cửa Lò,Nghệ An
Huyện Dầu Tiếng,Bình Dương
Huyện Di Linh,Lâm Đồng
Thị xã Dĩ An,Bình Dương
Huyện Diên Khánh,Khánh Hòa
Huyện Diễn Châu,Nghệ An
Huyện Duy Tiên,Hà Nam
Huyện Duy Xuyên,Quảng Nam
Thị xã Duyên Hải,Trà Vinh
Huyện Duyên Hải,Trà Vinh
Quận Dương Kinh,Hải Phòng
Huyện Dương Minh Châu,Tây Ninh
Huyện Đa Krông,Quảng Trị
Huyện Đà Bắc,Hoà Bình
Thành phố Đà Lạt,Lâm Đồng
Huyện Đạ Huoai,Lâm Đồng
Huyện Đạ Tẻh,Lâm Đồng
Huyện Đại Lộc,Quảng Nam
Huyện Đại Từ,Thái Nguyên
Huyện Đắk Đoa,Gia Lai
Huyện Đak Pơ,Gia Lai
Huyện Đan Phượng,Hà Nội
Huyện Đắk Glei,Kon Tum
Huyện Đắk Glong,Đắk Nông
Huyện Đắk Hà,Kon Tum
Huyện Đắk Mil,Đắk Nông
Huyện Đắk R'lấp,Đắk Nông
Huyện Đăk Song,Đắk Nông
Huyện Đăk Tô,Kon Tum
Huyện Đầm Dơi,Cà Mau
Huyện Đầm Hà,Quảng Ninh
Huyện Đam Rông,Lâm Đồng
Huyện Đất Đỏ,Bà Rịa - Vũng Tàu
Thị xã Điện Bàn,Quảng Nam
Huyện Điện Biên,Điện Biên
Huyện Điện Biên Đông,Điện Biên
Thành phố Điện Biên Phủ,Điện Biên
Huyện Đình Lập,Lạng Sơn
Huyện Định Hóa,Thái Nguyên
Huyện Định Quán,Đồng Nai
Huyện Đoan Hùng,Phú Thọ
Huyện Đô Lương,Nghệ An
Quận Đồ Sơn,Hải Phòng
Huyện Đông Anh,Hà Nội
Huyện Đông Giang,Quảng Nam
Thành phố Đông Hà,Quảng Trị
Huyện Đông Hải,Bạc Liêu
Huyện Đông Hòa,Phú Yên
Huyện Đông Hưng,Thái Bình
Huyện Đông Sơn,Thanh Hóa
Thị xã Đông Triều,Quảng Ninh
Thành phố Đồng Hới,Quảng Bình
Huyện Đồng Hỷ,Thái Nguyên
Huyện Đồng Phú,Bình Phước
Huyện Đồng Văn,Hà Giang
Thị xã Đồng Xoài,Bình Phước
Huyện Đồng Xuân,Phú Yên
Quận Đống Đa,Hà Nội
Huyện Đơn Dương,Lâm Đồng
Huyện Đức Cơ,Gia Lai
Huyện Đức Hòa,Long An
Huyện Đức Huệ,Long An
Huyện Đức Linh,Bình Thuận
Huyện Đức Phổ,Quảng Ngãi
Huyện Đức Thọ,Hà Tĩnh
Huyện Đức Trọng,Lâm Đồng
Huyện Ea H'leo,Đắk Lắk
Huyện Ea Kar,Đắk Lắk
Huyện Ea Súp,Đắk Lắk
Huyện Gia Bình,Bắc Ninh
Huyện Gia Lâm,Hà Nội
Huyện Gia Lộc,Hải Dương
Thị xã Gia Nghĩa,Đắk Nông
Huyện Gia Viễn,Ninh Bình
Thị xã Giá Rai,Bạc Liêu
Huyện Giang Thành,Kiên Giang
Huyện Giao Thủy,Nam Định
Huyện Gio Linh,Quảng Trị
Huyện Giồng Riềng,Kiên Giang
Huyện Giồng Trôm,Bến Tre
Thị xã Gò Công,Tiền Giang
Huyện Gò Công Đông,Tiền Giang
Huyện Gò Công Tây,Tiền Giang
Huyện Gò Dầu,Tây Ninh
Huyện Gò Quao,Kiên Giang
Quận Gò Vấp,TP Hồ Chí Minh
Quận Hà Đông,Hà Nội
Thành phố Hà Giang,Hà Giang
Huyện Hà Quảng,Cao Bằng
Thị xã Hà Tiên,Kiên Giang
Thành phố Hà Tĩnh,Hà Tĩnh
Huyện Hà Trung,Thanh Hóa
Huyện Hạ Hòa,Phú Thọ
Huyện Hạ Lang,Cao Bằng
Thành phố Hạ Long,Quảng Ninh
Quận Hai Bà Trưng,Hà Nội
Quận Hải An,Hải Phòng
Quận Hải Châu,Đà Nẵng
Thành phố Hải Dương,Hải Dương
Huyện Hải Hà,Quảng Ninh
Huyện Hải Hậu,Nam Định
Huyện Hải Lăng,Quảng Trị
Huyện Hàm Tân,Bình Thuận
Huyện Hàm Thuận Bắc,Bình Thuận
Huyện Hàm Thuận Nam,Bình Thuận
Huyện Hàm Yên,Tuyên Quang
Huyện Hậu Lộc,Thanh Hóa
